+--------+---------------------+----------------------+-----------------------+---------------------+--------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |         ttZ          |         Higgs         |         WZ          |       Other        |        Total        |     data     |       Ratio       |
|--------+---------------------+----------------------+-----------------------+---------------------+--------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |    47.01 ± 0.185    |        0 ± 0         |   0.09576 ± 0.09576   |        0 ± 0        |       0 ± 0        |    47.1 ± 0.2083    |  34 ± 5.831  |  0.7218 ± 0.1238  |
| Bin2   |     119 ± 0.294     | 0.007834 ± 0.004146  |    0.383 ± 0.1915     |        0 ± 0        |       0 ± 0        |   119.3 ± 0.3509    |  94 ± 9.695  | 0.7876 ± 0.08127  |
| Bin3   |   147.8 ± 0.3276    | 0.003134 ± 0.003838  |    0.2873 ± 0.1659    |        0 ± 0        |       0 ± 0        |   148.1 ± 0.3672    | 155 ± 12.45  |  1.047 ± 0.08412  |
| Bin4   |   138.9 ± 0.3175    | 0.007834 ± 0.004146  |    0.1915 ± 0.1354    | -0.04086 ± 0.04086  |       0 ± 0        |    139 ± 0.3476     | 118 ± 10.86  | 0.8486 ± 0.07815  |
| Bin5   |    111.2 ± 0.284    |  0.01254 ± 0.005428  |  -0.009372 ± 0.1358   |        0 ± 0        |       0 ± 0        |   111.2 ± 0.3148    |  84 ± 9.165  | 0.7555 ± 0.08246  |
| Bin6   |   79.84 ± 0.2407    | 0.007834 ± 0.004146  |   0.009372 ± 0.1358   |     0 ± 0.05779     | 0.03706 ± 0.03706  |    79.9 ± 0.2848    |  78 ± 8.832  |  0.9763 ± 0.1106  |
| Bin7   |   51.95 ± 0.1941    |  0.01567 ± 0.007007  |    0.1915 ± 0.1354    |        0 ± 0        |       0 ± 0        |   52.16 ± 0.2368    |  67 ± 8.185  |   1.285 ± 0.157   |
| Bin8   |   31.93 ± 0.1522    | 0.009401 ± 0.005428  |         0 ± 0         |        0 ± 0        |       0 ± 0        |   31.94 ± 0.1523    |  38 ± 6.164  |   1.19 ± 0.1931   |
| Bin9   |   18.77 ± 0.1167    |  0.0188 ± 0.007007   |   0.09576 ± 0.09576   |        0 ± 0        |       0 ± 0        |   18.89 ± 0.1511    |  26 ± 5.099  |  1.376 ± 0.2702   |
| Bin10  |   10.62 ± 0.0878    |   0.0235 ± 0.00683   |  -0.09576 ± 0.09576   |  0.04086 ± 0.04086  |       0 ± 0        |   10.59 ± 0.1364    |  21 ± 4.583  |  1.983 ± 0.4335   |
| Bin11  |   5.616 ± 0.0639    | 0.009401 ± 0.005428  |  -0.09576 ± 0.09576   |        0 ± 0        |       0 ± 0        |    5.53 ± 0.1153    |    9 ± 3     |  1.627 ± 0.5436   |
| Bin12  |   2.865 ± 0.04563   | 0.004701 ± 0.005197  | -0.009372 ± 0.009372  |        0 ± 0        |       0 ± 0        |   2.86 ± 0.04687    |    1 ± 1     |  0.3497 ± 0.3497  |
| Bin13  |   1.442 ± 0.03241   | 0.006268 ± 0.005428  |         0 ± 0         |        0 ± 0        |       0 ± 0        |   1.448 ± 0.03286   |    0 ± 0     |       0 ± 0       |
| Bin14  |  0.7128 ± 0.02274   | 0.009401 ± 0.004432  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.7222 ± 0.02317   |    0 ± 0     |       0 ± 0       |
| Bin15  |  0.3588 ± 0.01616   | 0.007834 ± 0.004701  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.3666 ± 0.01683   |  2 ± 1.414   |   5.455 ± 3.866   |
| Bin16  |  0.1892 ± 0.01172   | 0.009401 ± 0.004955  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.1986 ± 0.01272   |    1 ± 1     |   5.036 ± 5.047   |
| Bin17  | 0.09333 ± 0.008273  | 0.003134 ± 0.003838  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.09646 ± 0.00912  |    0 ± 0     |       0 ± 0       |
| Bin18  | 0.03977 ± 0.005471  | 0.004701 ± 0.003504  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.04447 ± 0.006496  |    0 ± 0     |       0 ± 0       |
| Bin19  | 0.02787 ± 0.004566  | 0.006268 ± 0.004432  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.03414 ± 0.006363  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.01299 ± 0.003164  | 0.006268 ± 0.003134  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.01926 ± 0.004453  |    0 ± 0     |       0 ± 0       |
| Bin21  | 0.02509 ± 0.004363  |  0.03604 ± 0.01051   |         0 ± 0         |  0.04086 ± 0.04086  |       0 ± 0        |   0.102 ± 0.04242   |    0 ± 0     |       0 ± 0       |
+--------+---------------------+----------------------+-----------------------+---------------------+--------------------+---------------------+--------------+-------------------+
