+--------+------------------------+------------------------+--------------+-------------------+
| Bin#   |           ZZ           |         Total          |     data     |       Ratio       |
|--------+------------------------+------------------------+--------------+-------------------+
| Bin0   |         0 ± 0          |         0 ± 0          |    0 ± 0     |       0 ± 0       |
| Bin1   |     3.226 ± 0.0328     |     3.226 ± 0.0328     |  2 ± 1.414   |   0.62 ± 0.4384   |
| Bin2   |     183.3 ± 0.2565     |     183.3 ± 0.2565     | 155 ± 12.45  | 0.8458 ± 0.06794  |
| Bin3   |     19.53 ± 0.0837     |     19.53 ± 0.0837     |  23 ± 4.796  |  1.177 ± 0.2456   |
| Bin4   |    4.766 ± 0.04201     |    4.766 ± 0.04201     |  5 ± 2.236   |  1.049 ± 0.4693   |
| Bin5   |    1.955 ± 0.02718     |    1.955 ± 0.02718     |  2 ± 1.414   |  1.023 ± 0.7233   |
| Bin6   |    0.8323 ± 0.01774    |    0.8323 ± 0.01774    |    0 ± 0     |       0 ± 0       |
| Bin7   |    0.4005 ± 0.01236    |    0.4005 ± 0.01236    |    0 ± 0     |       0 ± 0       |
| Bin8   |   0.1894 ± 0.008535    |   0.1894 ± 0.008535    |    0 ± 0     |       0 ± 0       |
| Bin9   |   0.1008 ± 0.006218    |   0.1008 ± 0.006218    |    0 ± 0     |       0 ± 0       |
| Bin10  |   0.04931 ± 0.004349   |   0.04931 ± 0.004349   |    0 ± 0     |       0 ± 0       |
| Bin11  |   0.02645 ± 0.003162   |   0.02645 ± 0.003162   |    0 ± 0     |       0 ± 0       |
| Bin12  |   0.02132 ± 0.00286    |   0.02132 ± 0.00286    |    0 ± 0     |       0 ± 0       |
| Bin13  |   0.01073 ± 0.002014   |   0.01073 ± 0.002014   |    0 ± 0     |       0 ± 0       |
| Bin14  |  0.001864 ± 0.0008391  |  0.001864 ± 0.0008391  |    0 ± 0     |       0 ± 0       |
| Bin15  |  0.001272 ± 0.0007096  |  0.001272 ± 0.0007096  |    0 ± 0     |       0 ± 0       |
| Bin16  |  0.001272 ± 0.0007096  |  0.001272 ± 0.0007096  |    0 ± 0     |       0 ± 0       |
| Bin17  | 0.0008177 ± 0.0005782  | 0.0008177 ± 0.0005782  |    0 ± 0     |       0 ± 0       |
| Bin18  | 0.0002283 ± 0.0001882  | 0.0002283 ± 0.0001882  |    0 ± 0     |       0 ± 0       |
| Bin19  |  0.001046 ± 0.0006081  |  0.001046 ± 0.0006081  |    0 ± 0     |       0 ± 0       |
| Bin20  |  9.15e-05 ± 6.47e-05   |  9.15e-05 ± 6.47e-05   |    0 ± 0     |       0 ± 0       |
| Bin21  | 0.0004089 ± 0.0004089  | 0.0004089 ± 0.0004089  |    0 ± 0     |       0 ± 0       |
+--------+------------------------+------------------------+--------------+-------------------+
