+--------+----------------------+-----------------------+--------------------+---------------------+--------------+------------------+
| Bin#   |          ZZ          |          ttZ          |       Other        |        Total        |     data     |      Ratio       |
|--------+----------------------+-----------------------+--------------------+---------------------+--------------+------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |       0 ± 0        |        0 ± 0        |    0 ± 0     |      0 ± 0       |
| Bin1   |    66.92 ± 0.1821    |  0.001591 ± 0.001591  |       0 ± 0        |   66.92 ± 0.1821    |  76 ± 8.718  |  1.136 ± 0.1303  |
| Bin2   |     129 ± 0.2518     | -0.001591 ± 0.001591  |       0 ± 0        |    129 ± 0.2518     | 136 ± 11.66  | 1.054 ± 0.09044  |
| Bin3   |    116.1 ± 0.238     |     0 ± 0.003182      |       0 ± 0        |    116.1 ± 0.238    | 117 ± 10.82  | 1.008 ± 0.09322  |
| Bin4   |    83.21 ± 0.2011    |  0.004773 ± 0.002756  |       0 ± 0        |   83.22 ± 0.2012    |  71 ± 8.426  | 0.8532 ± 0.1013  |
| Bin5   |    52.83 ± 0.1601    |  0.007956 ± 0.00421   |       0 ± 0        |   52.84 ± 0.1601    |  52 ± 7.211  | 0.9841 ± 0.1365  |
| Bin6   |    31.05 ± 0.1227    |  0.001591 ± 0.003558  |       0 ± 0        |   31.05 ± 0.1227    |    36 ± 6    |  1.159 ± 0.1933  |
| Bin7   |   17.48 ± 0.09212    |   0.01114 ± 0.00421   |       0 ± 0        |   17.49 ± 0.09221   |  15 ± 3.873  | 0.8576 ± 0.2215  |
| Bin8   |    9.56 ± 0.06811    |  0.006365 ± 0.005032  |       0 ± 0        |   9.566 ± 0.0683    |  8 ± 2.828   | 0.8363 ± 0.2957  |
| Bin9   |   5.116 ± 0.04986    |  0.007956 ± 0.005277  |       0 ± 0        |   5.124 ± 0.05014   |  6 ± 2.449   |  1.171 ± 0.4782  |
| Bin10  |   2.803 ± 0.03691    |  0.01591 ± 0.006751   | 0.03525 ± 0.03525  |   2.854 ± 0.05148   |    4 ± 2     |  1.402 ± 0.7012  |
| Bin11  |   1.386 ± 0.02596    |  0.007956 ± 0.003558  |       0 ± 0        |   1.394 ± 0.0262    |  2 ± 1.414   |  1.435 ± 1.015   |
| Bin12  |   0.7311 ± 0.01888   |  0.004773 ± 0.00421   |       0 ± 0        |  0.7358 ± 0.01935   |    0 ± 0     |      0 ± 0       |
| Bin13  |   0.3791 ± 0.01357   |  0.006365 ± 0.003898  |       0 ± 0        |  0.3855 ± 0.01412   |    1 ± 1     |  2.594 ± 2.596   |
| Bin14  |   0.2172 ± 0.01033   |  0.004773 ± 0.004773  |       0 ± 0        |   0.222 ± 0.01138   |  2 ± 1.414   |  9.009 ± 6.387   |
| Bin15  |  0.1093 ± 0.007331   |  0.01114 ± 0.004773   |       0 ± 0        |  0.1204 ± 0.008748  |  2 ± 1.414   |   16.61 ± 11.8   |
| Bin16  |  0.06785 ± 0.005841  |  0.003182 ± 0.003182  |       0 ± 0        | 0.07103 ± 0.006652  |    0 ± 0     |      0 ± 0       |
| Bin17  |  0.03008 ± 0.003855  |  0.004773 ± 0.002756  |       0 ± 0        | 0.03486 ± 0.004739  |    0 ± 0     |      0 ± 0       |
| Bin18  |  0.01943 ± 0.003105  |  0.001591 ± 0.002756  |       0 ± 0        | 0.02102 ± 0.004152  |    0 ± 0     |      0 ± 0       |
| Bin19  |  0.01522 ± 0.002801  |  0.003182 ± 0.005512  |       0 ± 0        |  0.0184 ± 0.006183  |    0 ± 0     |      0 ± 0       |
| Bin20  | 0.008515 ± 0.002068  |  0.001591 ± 0.003558  |       0 ± 0        | 0.01011 ± 0.004115  |    0 ± 0     |      0 ± 0       |
| Bin21  |  0.01837 ± 0.00304   |  0.007956 ± 0.007631  |       0 ± 0        | 0.02633 ± 0.008214  |    0 ± 0     |      0 ± 0       |
+--------+----------------------+-----------------------+--------------------+---------------------+--------------+------------------+
