+--------+----------------------+-----------------------+----------------------+--------------------+-----------------------+----------------------+---------------+-------------------+------------------------+
| Bin#   |          ZZ          |          ttZ          |        Higgs         |         WZ         |         Other         |        Total         |     data      |       Ratio       |          WWZ           |
|--------+----------------------+-----------------------+----------------------+--------------------+-----------------------+----------------------+---------------+-------------------+------------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0         |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin1   |    22.14 ± 0.1084    |         0 ± 0         |  0.09854 ± 0.09854   | 0.01359 ± 0.01359  |         0 ± 0         |    22.25 ± 0.1471    |  19 ± 4.359   |  0.8538 ± 0.196   | 0.0003408 ± 6.447e-05  |
| Bin2   |    1479 ± 0.9181     |    0.19 ± 0.02217     |    1.955 ± 0.5814    |  0.06457 ± 0.111   |     0.1602 ± 0.07     |     1481 ± 1.095     | 1408 ± 37.52  | 0.9508 ± 0.02535  |    0.3947 ± 0.1227     |
| Bin3   |    168.2 ± 0.3107    |   0.1845 ± 0.02498    |   0.1901 ± 0.1818    | 0.09252 ± 0.06185  |  0.007955 ± 0.007129  |    168.7 ± 0.3661    |  184 ± 13.56  |  1.091 ± 0.08043  |    0.4031 ± 0.1561     |
| Bin4   |    39.08 ± 0.1507    |   0.06028 ± 0.01435   |   0.1843 ± 0.1879    |  0.0108 ± 0.0108   |  0.002589 ± 0.002705  |    39.34 ± 0.2416    |  38 ± 6.164   |  0.966 ± 0.1568   |   0.00581 ± 0.06218    |
| Bin5   |   15.96 ± 0.09705    |  0.02844 ± 0.008944   |   0.1078 ± 0.09615   |       0 ± 0        |  0.002624 ± 0.00186   |    16.1 ± 0.1369     |  18 ± 4.243   |  1.118 ± 0.2637   |    0.1334 ± 0.07609    |
| Bin6   |   6.812 ± 0.06359    |  0.01382 ± 0.005689   | 0.006836 ± 0.006836  | 0.01359 ± 0.01359  |         0 ± 0         |   6.846 ± 0.06564    |   3 ± 1.732   |  0.4382 ± 0.253   |   0.04298 ± 0.04245    |
| Bin7   |   3.015 ± 0.04222    |  0.001702 ± 0.002823  |        0 ± 0         |       0 ± 0        | -0.002689 ± 0.001909  |   3.014 ± 0.04235    |   3 ± 1.732   |  0.9953 ± 0.5748  |   0.04266 ± 0.04245    |
| Bin8   |   1.447 ± 0.02933    |  0.003134 ± 0.002216  |        0 ± 0         |       0 ± 0        |         0 ± 0         |    1.45 ± 0.02941    |     1 ± 1     |  0.6895 ± 0.6897  |  0.0002527 ± 0.000139  |
| Bin9   |   0.7734 ± 0.02146   | -0.001567 ± 0.001567  |        0 ± 0         |       0 ± 0        |         0 ± 0         |   0.7718 ± 0.02151   |     0 ± 0     |       0 ± 0       | 0.0001439 ± 0.0001093  |
| Bin10  |   0.4047 ± 0.01554   |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |   0.4047 ± 0.01554   |     0 ± 0     |       0 ± 0       | 2.544e-05 ± 1.801e-05  |
| Bin11  |   0.2323 ± 0.01188   |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |   0.2323 ± 0.01188   |     0 ± 0     |       0 ± 0       | 0.0001329 ± 8.757e-05  |
| Bin12  |  0.1382 ± 0.009155   |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.1382 ± 0.009155   |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin13  |  0.07215 ± 0.006587  |  0.001567 ± 0.001567  |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.07372 ± 0.00677   |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin14  |  0.04322 ± 0.005145  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.04322 ± 0.005145  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin15  |  0.02076 ± 0.003673  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.02076 ± 0.003673  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin16  |  0.01465 ± 0.003039  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.01465 ± 0.003039  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin17  |  0.01083 ± 0.002651  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.01083 ± 0.002651  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin18  | 0.004546 ± 0.001689  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         | 0.004546 ± 0.001689  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin19  | 0.005358 ± 0.001767  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         | 0.005358 ± 0.001767  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin20  | 0.002389 ± 0.001251  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         | 0.002389 ± 0.001251  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin21  | 0.002786 ± 0.001277  |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         | 0.002786 ± 0.001277  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
+--------+----------------------+-----------------------+----------------------+--------------------+-----------------------+----------------------+---------------+-------------------+------------------------+
